stockorg_code,sku_code,dt,begin_stock_qty,demand_qty,production_qty,trans_in_qty,trans_out_qty,safety_stock_qty,todo_qty,end_stock_qty
warehouse.ZYC,31010036115000000,2024-04-01,28.299,64.490,0.000,49.858,0.000,0.000,0.000,13.668
warehouse.QNC,31010010146000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.XXF,31010010013000000,2024-04-01,10.150,34.810,0.000,32.302,0.000,0.000,0.000,7.642
warehouse.QHD,31010040036000000,2024-04-01,64.462,225.610,225.610,0.000,0.000,0.000,161.148,0.000
warehouse.LNC,31726050032174000,2024-04-01,24.989,21.640,21.640,0.000,1.000,0.000,0.000,2.349
warehouse.ASC,31011360022170011,2024-04-01,454.930,697.240,697.240,0.000,0.000,0.000,242.310,0.000
warehouse.BBD,31010570006000000,2024-04-01,313.446,735.780,735.780,0.000,0.000,0.000,422.334,0.000
warehouse.ZZC,31010480046000000,2024-04-01,248.552,511.870,511.870,0.000,0.000,0.000,263.318,0.000
warehouse.WHC,31014050003000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.WHC,31010030004000000,2024-04-01,9.504,0.000,0.000,0.000,0.000,0.000,0.000,9.504
warehouse.SHC,31015830022000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.GSC,31010054698190003,2024-04-01,100.833,164.700,164.700,0.000,0.000,0.000,63.867,0.000
warehouse.HZA,31710000018000000,2024-04-01,27.189,0.000,0.000,0.000,120.142,0.000,92.953,0.000
warehouse.JLC,31016730008000001,2024-04-01,6.035,0.000,0.000,0.000,0.000,0.000,0.000,6.035
warehouse.SHC,31010060012000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.HBA,31728040031000009,2024-04-01,0.000,56.920,56.920,0.000,0.000,0.000,56.920,0.000
warehouse.SXX,31010647748150103,2024-04-01,1.872,0.000,0.000,0.000,0.000,0.000,0.000,1.872
warehouse.WZC,31010051995000000,2024-04-01,828.500,1885.380,1885.380,0.000,0.000,0.000,1056.880,0.000
warehouse.NJD,31015830008000001,2024-04-01,18.260,53.140,0.000,79.561,0.000,0.000,0.000,44.681
warehouse.XAF,31A10000015000000,2024-04-01,12.480,38.740,0.000,50.561,0.000,0.000,0.000,24.301
warehouse.SHC,31011198156000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.QNC,31726050009000001,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.XDF,31010050134000000,2024-04-01,327.027,0.000,0.000,0.000,888.064,0.000,561.037,0.000
warehouse.WHC,31716450009000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.LSA,31963010004000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.YTF,31014050001000000,2024-04-01,100.000,380.170,380.170,0.000,0.000,0.000,280.170,0.000
warehouse.TZA,31726050053120001,2024-04-01,75.600,0.000,0.000,0.000,0.000,0.000,0.000,75.600
warehouse.GSC,31010030041000000,2024-04-01,0.618,95.600,95.600,0.000,0.000,0.000,94.982,0.000
warehouse.MYA,31010080003000000,2024-04-01,16.632,22.520,0.000,14.738,0.000,0.000,0.000,8.850
warehouse.WHC,31726050009000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.YCD,31010037484000000,2024-04-01,82.500,273.400,0.000,245.287,0.000,0.000,0.000,54.387
warehouse.SHC,31A10000006000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.WHC,31010050010000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.WHC,31010217979000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.KLC,31010058660000000,2024-04-01,26.136,38.200,0.000,22.212,0.000,0.000,0.000,10.148
warehouse.NJA,31010210007000000,2024-04-01,50.410,312.960,312.960,0.000,21.581,0.000,284.131,0.000
warehouse.LAC,31710000019000000,2024-04-01,3.564,3.590,0.000,0.026,0.000,0.000,0.000,0.000
warehouse.HBA,31716450013000000,2024-04-01,6.621,2.350,0.000,0.000,0.000,0.000,0.000,4.271
warehouse.SHC,31010000013120004,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.SSF,31524890005242002,2024-04-01,127.232,12.030,12.030,0.000,0.000,0.000,0.000,115.202
warehouse.WHC,31350090007000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.XDF,31010080003005000,2024-04-01,8.364,855.680,855.680,0.000,0.000,0.000,847.316,0.000
warehouse.GXC,31794560012000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.SHC,31730000001000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.GDC,31710000066000000,2024-04-01,14.929,1.540,0.000,0.000,0.000,0.000,0.000,13.389
warehouse.BZC,31710000026000000,2024-04-01,93.926,74.620,0.000,31.992,0.000,0.000,0.000,51.298
warehouse.BZC,31015830009000000,2024-04-01,7.242,2.300,0.000,0.000,0.000,0.000,0.000,4.942
